lema,nilai,nilai1
anak cabang,bagian dsb yang lebih kecil dari cabang,ranting
anak cucu,anak dan cucu,keturunan
anak dara,anak perempuan yang sudah mencapai usia remaja dan belum kawin,(cak) pengantin perempuan
anak didik,murid,siswa
anak emas,anak budak belian yang diambil anak oleh tuannya,orang yang paling disayangi (disenangi) oleh atasannya (keluarganya kepalanya majikannya tuannya dsb)
anak jari,sebatang jari,jari kelingking
anak kolong,(kas) anak serdadu (yang lahir dan dibesarkan di tangsi pada zaman Hindia Belanda),(ki) anak tentara
anak luar nikah,anak yang dilahirkan oleh seorang wanita di luar perkawinan yang dianggap sah menurut adat atau hukum yang berlaku,anak haram
anak muda,orang yang masih muda,pemuda
anak pinak,anak cucu,keturunan
anak sumbang,anak haram (terutama akibat dari perzinaan sesama antara sanak saudara dekat),anak yang lahir dari seorang ibu yang dilarang kawin menurut undang-undang dengan lelaki yang menghamilinya
anak sundal,anak haram,(kas) kata makian kasar
anak susuan,anak yang masih menyusu,anak orang lain yang disusui
anakan,bunga uang,rente
anakronisme,hal ketidakcocokan dengan zaman tertentu,penempatan tokoh peristiwa percakapan dan unsur latar yang tidak sesuai menurut waktu di dalam karya sastra
analis,orang yang menganalisis atau melakukan analisis,ahli ilmu kimia yang bekerja di laboratorium (menjalankan penyelidikan dsb)
analisis,penyelidikan terhadap suatu peristiwa (karangan perbuatan dsb) untuk mengetahui keadaan yang sebenarnya (sebab-musabab duduk perkaranya dsb),(Man) penguraian suatu pokok atas berbagai bagiannya dan penelaahan bagian itu sendiri serta hubungan antarbagian untuk memperoleh pengertian yang tepat dan pemahaman arti keseluruhan
analisis sistem,prosedur atau proses sistematis yang memungkinkan pengombinasian pertimbangan para pakar dari berbagai bidang ilmu sehingga diperoleh hasil yang sempurna dari kegunaan tiap disiplin,pengamatan mengenai suatu kegiatan metode prosedur atau teknik untuk menentukan manfaat kegiatan tersebut dan cara terbaik untuk memperolehnya
analogi,persamaan atau persesuaian antara dua benda atau hal yang berlainan,kias
analsit,(Kim) mineral zeolit yang awawarna atau yang berwarna abu-abu kehijau-hijauan putih kekuning-kuningan atau putih kemerah-merahan kekuning-kuningan kemerah-merahan atau keputih-putihan,Na2O.Al2O3.4SiO2.2H2O
anamnesis,(Psi) keterangan tentang kehidupan seseorang (klien) yang diperoleh melalui wawancara dsb,(Dok) riwayat orang sakit dan penyakitnya pada masa lampau
anamorfosis,perubahan bentuk evolusi bertahap,distorsi tumbuhan yang tidak normal
anarki,hal tidak adanya pemerintahan undang-undang peraturan atau ketertiban,kekacauan (dalam suatu negara)
anarkis,penganjur (penganut) paham anarkisme,orang yang melakukan tindakan anarki
anasir,sesuatu (orang paham sifat dsb) yang menjadi bagian dari atau termasuk dalam keseluruhan (suasana perkumpulan gerakan dsb),(menurut pendapat ahli pikir zaman dulu) zat pokok yang merupakan bagian dari segala benda
anatomi,ilmu yang melukiskan letak dan hubungan bagian-bagian tubuh manusia binatang atau tumbuh-tumbuhan,uraian yang mendalam tentang sesuatu
anca,rintangan,kerugian (karena kekeliruan dsb)
ancaman,sesuatu yang diancamkan,perbuatan (hal dsb) mengancam
ancang,→ ancang-ancang,→ ancang ekstrinsik
ancang-ancang,persiapan hendak berbuat sesuatu,langkah akan melompat dsb
ancangan,tindakan atau perbuatan mendekat,perkiraan
andai,peristiwa yang dianggap mudah terjadi,misal
andalan,orang yang dipercayai,yang dapat diandalkan
andam,→ andam surai,adj → andam karam
andaman,hasil mengandam,hasil memingit (mengurung mengikat)
andan,orang yang putih kulitnya karena lapisan kulitnya tidak mengandung (kekurangan) zat warna tubuh (pigmen),bulai
andika,(kl) kehormatan tertinggi yang diberikan atau dimiliki raja atau penguasa dari zaman pra-Islam,pron sapaan hormat orang kedua
andil,bagian modal dalam perusahaan,saham
andong,(Jw) kereta kuda sewaan seperti dokar atau sado beroda empat (di Yogyakarta dan Surakarta),tanaman perdu tergolong tanaman hias berhelai daun panjang meruncing lurus atau bergelombang tangkai daunnya berbentuk tulang warna daunnya hijau hijau kemerah-merahan ungu kemerah-merahan merah sekali
anduhan,tali dsb untuk menganduh,tali tempat sekoci bergantung di kapal
angan,pikiran,ingatan
angan-angan,pikiran,ingatan
anggaran,perkiraan,perhitungan
anggitan,barang yang dianggit,gubahan
anggota,bagian tubuh (terutama tangan dan kaki),bagian dari sesuatu yang berangkai
angguk,gerakan menundukkan kepala (tanda setuju mengantuk dsb),(Lay) nama tali pada perahu
angguran,anggur,sejenis anggur yang tidak enak rasanya
angin,gerakan udara dari daerah yang bertekanan tinggi ke daerah yang bertekanan rendah,tiupan -- kencang merobohkan beberapa rumah penduduk
angin lalu,(ki) sesuatu yang bersifat sementara,kabar yang belum pasti (hanya kata orang)
angin lokal,(Met) angin yang bertiup dalam daerah terbatas yang disebabkan oleh keadaan setempat,gerakan udara yang untuk sementara waktu memperoleh sifat tertentu yang disebabkan oleh keadaan setempat
angin puyuh,angin puting beliung,kisaran angin
angin-angin,(ki) kabar yang belum tentu kebenarannya,gelagat yang menyatakan bahwa sesuatu akan terjadi
angka,tanda atau lambang sebagai pengganti bilangan,nomor
angka Arab,angka yang berasal dari ejaan Arab yang sekarang menjadi angka internasional (dst),angka biasa
angkara,kebengisan,kekurangajaran (terhadap perempuan dsb)
angkasa,lapisan udara yang melingkupi bumi,awang-awang
angkatan,pendapatan mengangkat,bala tentara (segenap tentara dengan senjatanya)
angkatan empat puluh lima,para pejuang kemerdekaan yang memelopori revolusi pada saat-saat menjelang Proklamasi Kemerdekaan pada tahun 1945,(Sas) kelompok pengarang dan seniman yang muncul sekitar tahun 1945
angkatan muda,jabatan pegawai negara,orang yang diangkat oleh negara
angkel,(ark) uang kontrak yang diberikan kepada orang yang masuk serdadu (pada zaman penjajahan),v (cak) menandatangani kontrak lagi (setelah kontrak berakhir)
angket,daftar pertanyaan tertulis mengenai masalah tertentu dengan ruang untuk jawaban bagi setiap pertanyaan,(Huk) pemeriksaan saksi dalam persidangan perkara perdata baik yang diajukan oleh penggugat maupun oleh tergugat
angkup,penjepit untuk memegang barang yang kecil-kecil,sepit angkup
angkup-angkup,lidah-lidah penutup lubang pada pompa dsb,penjepit
angkutan,barang-barang (orang-orang dsb) yang diangkut,cara mengangkut
angpau,(Cn) amplop kecil untuk tempat uang sumbangan yang diberikan kepada orang yang punya hajat (perkawinan dsb) dalam adat Cina,hadiah atau pemberian uang (pada hari Tahun Baru Cina dsb)
anilina,(Kim) zat cair berminyak tidak berwarna dengan bau yang khas yang berubah menjadi cokelat pada waktu oksidasi dan mudah menguap dalam air digunakan untuk membuat zat warna obat-obatan dan plastik,C6H4NH2
animo,hasrat dan keinginan yang kuat untuk berbuat melakukan atau mengikuti sesuatu,semangat
anis,tanaman yang banyak tumbuh di kawasan Laut Tengah buahnya kecil-kecil dan berbau harum dipakai sebagai obat atau rempah-rempah,minuman keras dibuat dari biji anis
anjangsana,kunjungan untuk melepaskan rasa rindu,kunjungan silaturahmi (ke rumah tetangga saudara kawan lama sahabat)
anjing geladak,anjing liar (tidak dipiara orang),(ki) penjahat yang hidup di pelabuhan-pelabuhan laut
anjing gila,anjing yang terkena penyakit gila,penyakit yang disebabkan oleh virus yang berasal dari gigitan anjing gila (sangat berbahaya bagi manusia)
anjung-anjung,(Lay) panggung di buritan perahu,panggung di kapal tempat memberi aba-aba
anjungan,anjung-anjung,bangunan di taman atau lapangan yang kadang-kadang dibuat secara artistik dipakai sebagai tempat rekreasi
ankilosis,(Dok) tergabungnya tulang-tulang atau bagian lain yang keras dan membentuk satu tulang atau bagian yang keras,kekakuan sendi karena penyakit atau pembedahan
anomali,ketidaknormalan,penyimpangan dari normal
anomi,perilaku tanpa arah dan apatis,(Antr) keadaan masyarakat yang ditandai oleh pandangan sinis (negatif) terhadap sistem norma hilangnya kewibawaan hukum dan disorganisasi hubungan antara manusia
ansar,pembantu,penyokong
antagonis,orang yang suka menentang (melawan dsb),(Dok) dua macam obat atau racun yang mempunyai khasiat berlawanan sehingga dapat menghilangkan atau mengurangi khasiat masing-masing
antagonisme,pertentangan antara dua paham (orang dsb) yang berlawanan,(Bio) gangguan atau penghambatan pertumbuhan makhluk hidup oleh makhluk lainnya dengan jalan menciptakan keadaan lingkungan yang tidak cocok misal dengan mengeluarkan antibiotika
antah,gabah (yang terdapat pada beras atau nasi),(ki) orang yang tidak berguna (dalam masyarakat)
antara,jarak (ruang jauh) di sela-sela dua benda,waktu yang menyelang dua saat atau peristiwa
antaran,barang yang diantarkan (dikirimkan),uang dsb pemberian dari pihak laki-laki kepada calon mertua
antarmuka,(Komp) hubungan atau batasan umum antara dua unit atau alat,batasan umum antara sistem pengolahan data otomatis atau bagian suatu sistem tunggal
antawacana,(Sen) suara dalang dalam pewayangan (wayang kulit) yang disesuaikan dengan tokoh sebenarnya misal suara Arjuna lemah lembut suara Burisrawa keras dan gagah,dialog
antena,kawat atau seperangkat sistem kawat untuk memancarkan atau menangkap isyarat gelombang radio atau televisi,(Zool) alat perasa dan peraba berbentuk sungut pada sekelompok binatang yang badan dan anggota tubuhnya beruas-ruas
anteseden,hal ihwal yang terjadi dahulu (terutama tentang riwayat hidup atau masa lampau seseorang),(Ling) informasi dalam ingatan atau konteks yang ditunjukkan oleh suatu ungkapan misal dalam kalimat anaknya berapa? bentuk -nya menunjuk anteseden tertentu
anting-anting,perhiasan telinga yang digantungkan pada cuping telinga,bandul (dari timah dsb) pada lonceng alat penduga dsb
antinomi,kenyataan yang kontroversial,(Huk) pertentangan antara dua ayat dalam undang-undang
antipati,(Pol) penolakan atau perasaan tidak suka yang kuat,perasaan menentang objek tertentu yang bersifat persona dan abstrak
antipode,dua tempat yang terletak di belahan bumi yang berlawanan,belahan bumi yang letaknya berlawanan dengan tempat kita
antisepsis,cara mencegah infeksi pertumbuhan mikro-organisme dsb,keadaan atau kondisi bebas dari mikro-organisme
antisipasi,perhitungan tentang hal-hal yang akan (belum) terjadi,bayangan
antitesis,pertentangan yang benar-benar,pengungkapan gagasan yang bertentangan dalam susunan kata yang sejajar seperti dalam semboyan Merdeka atau Mati
antonim,kata yang berlawanan makna dengan kata lain,(Ling) leksem yang berpasangan secara antonimi
anu,yang tidak disebutkan namanya (orang benda dsb),(untuk menyebutkan) sesuatu yang namanya terlupa atau tidak diketahui
anulus,(Tek) daerah antara pipa bor dan dinding lubang bor,(Zool) struktur berbentuk cincin berupa tanda atau lubang
anutan,contoh yang baik,ikutan
anyang,makanan (kerang mentah daging dsb) dengan rempah-rempah dan garam atau buah-buahan mentah dengan lada dan garam,v → menganyang hati
aparat,alat,perkakas
ape,(Jk) kue apam kecil dibuat dari adonan tepung terigu gula dan telur rasanya manis dan gurih,pron apa
apel,pohon yang buahnya bundar berdaging tebal dan mengandung air serta berkulit lunak yang warnanya merah (kemerah-merahan) atau kuning (kekuning-kuningan) jika matang rasanya manis kemasam-masaman,Pyrus malus
apendiks,tambahan atau lampiran pada akhir buku atau karangan,(Dok) umbai berbentuk cacing
api,panas dan cahaya yang berasal dari sesuatu yang terbakar,nyala
api unggun,api yang menyala dari tumpukan kayu yang terbakar,acara (biasanya pada malam penutupan masa perkenalan anggota baru) dengan membuat api unggun (misal dalam kepramukaan)
api-api,geretan,korek api
apit,sesuatu yang terdapat di antara dua benda (orang dsb),sesuatu yang dihimpit (dijepit ditindih dsb)
apit-apit,burung pipit Anthus novaeselandiae malayensis,jenis lebah
aplikasi,karya hias dalam seni jahit-menjahit dengan menempelkan (menjahitkan) guntingan-guntingan kain yang dibentuk seperti bunga (buah binatang dsb) pada kain lain sebagai hiasan,tambahan
apoenzim,(Bio) bagian protein dari enzim,enzim yang harus menyatu dengan kofaktor agar berfungsi secara aktif
apokrifa,yang diragukan keasliannya,tidak dapat dipercaya (tentang asal usul naskah)
apologia,pengakuan kesalahan,(Kat) pembelaan agama
apostel,rasul,pembela
apresiasi,kesadaran terhadap nilai seni dan budaya,penilaian (penghargaan) terhadap sesuatu
apung-apung,sesuatu yang terapung-apung di permukaan air atau yang dapat ditempatkan di air dan tidak tenggelam (seperti kayu di laut pelampung),(Lay) badan baling-baling (semacam baling-baling kecil yang dipasang di bagian ujung topdal yang ditarik) yang akan berputar selama kapal melaju dan putarannya diteruskan ke roda penerus serta ke piringan penunjuk jarak
Arab,nama bangsa di Jazirah Arab dan Timur Tengah,bahasa Semit yang digunakan bangsa Arab (Saudi Arabia Suriah Yordania Irak Mesir dsb)
arah,jurusan,tujuan
arahan,petunjuk untuk melaksanakan sesuatu,perintah resmi seorang pemimpin perusahaan kepada bawahannya yang berupa petunjuk untuk melaksanakan sesuatu dan jika tidak dilaksanakan akan mendapat sanksi
arai,(Mk) mayang-mayang,(ark) takaran beras (dua cupak)
arak,minuman keras biasanya dibuat dari beras yang difermentasikan,zat cair mengandung alkohol (seperti wiski brendi rum) yang diperoleh dari penyulingan anggur serta zat cair lain dengan kadar etanol rendah
aram,→ aram-aram,adj (kl) → aram temaram
arang,bahan bakar yang hitam warnanya dibuat atau terjadi dari bara kayu dsb yang dipengap,serbuk hitam bekas kayu dsb yang terbakar
aransemen,(Mus) penyesuaian komposisi musik dengan nomor suara penyanyi atau instrumen lain yang didasarkan pada sebuah komposisi yang telah ada sehingga esensi musiknya tidak berubah,usaha yang dilakukan terhadap sebuah karya musik untuk suatu pergelaran yang pengerjaannya bukan sekadar perluasan teknis tetapi juga menyangkut pencapaian nilai artistik yang dikandungnya
arasy,takhta Tuhan,surga yang tertinggi tempat takhta Tuhan
arbei,tumbuhan buah daunnya bertangkai panjang dan berbulu kasar buahnya berwarna merah mengandung banyak air dan berasa manis,Fragaria vesca
arbitrase,(Dag) pembelian dan penjualan secara simultan atas barang yang sama di dalam dua pasar atau lebih dengan harapan akan memperoleh laba dari perbedaan harganya,usaha perantara dalam meleraikan sengketa
ardi,(kl) gunung,bumi
area,bagian permukaan bumi,daerah
arek,(cak) orang yang berasal dari atau dilahirkan di (suatu daerah kota dsb),anak
arena,gelanggang,(ki) bidang (yang menjadi tempat bersaing berjuang dsb)
ares,(cak) hukuman (berupa larangan keluar dari rumah dsb),(Huk) penangkapan
argumen,alasan yang dapat dipakai untuk memperkuat atau menolak suatu pendapat pendirian atau gagasan,(Ling) nomina atau frasa nominal yang bersama-sama predikator membentuk proposisi
ari,kandang kuda,lawak-lawak kuda
Aries,(Astron) nama gugus bintang di belahan langit sebelah utara khatulistiwa,(Astrol) zodiak pertama yang digambarkan dengan domba jantan sebagai lambang bagi orang yang lahir antara tanggal 2Maret dan 1April
aring,jebakan untuk menangkap kijang,adj berbau seperti air kencing
aris,tepi atau kelim yang dibuat dari rotan tali dsb (pada kain layar jaring dsb),tali pukat (jaring besar) yang mengapung
aristokrasi,pemerintahan (kekuasaan) berada di tangan kaum bangsawan,bentuk pemerintahan negara
aristokrat,penganut cita-cita kenegaraan yang berpendapat bahwa negara harus diperintah oleh kaum bangsawan (orang kaya dan orang-orang yang tinggi martabatnya),orang dari golongan bangsawan
arit,pisau bergagang yang bentuknya melengkung dipakai untuk memotong rumput padi dsb,sabit
arkaisme,pemakaian kata atau bentuk kata yang bersifat arkais,cara (gaya) yang bersifat arkais
arkitraf,kerangka tercetak dari kusen pintu dan jendela,balok horizontal utama yang langsung disangga tiang-tiang
armada,rombongan (pasukan) kapal perang,rombongan kapal-kapal dagang
aroma,bau-bauan yang harum (yang berasal dari tumbuh-tumbuhan atau akar-akaran),bahan pewangi makanan atau minuman
arsipelago,laut dan pulau-pulau,gugusan pulau
